Category,Value,Scenario,Year,Precipitation,xstart,xend,xstart_rect,xend_rect,ymin,ymax
2030s,Median,SSP2-4.5,2030s,48.99472078455671,2015,2045,2028,2032,43.95858756087519,54.586274975732756
2030s,10th percentile,SSP5-8.5,2030s,44.162597217297865,2015,2045,2028,2032,44.162597217297865,54.40862825202885
2030s,10th percentile,SSP3-7.0,2030s,43.48423074329634,2015,2045,2028,2032,43.48423074329634,53.26919996770121
2030s,10th percentile,SSP2-4.5,2030s,43.95858756087519,2015,2045,2028,2032,43.95858756087519,54.586274975732756
2030s,90th percentile,SSP5-8.5,2030s,54.40862825202885,2015,2045,2028,2032,44.162597217297865,54.40862825202885
2030s,90th percentile,SSP3-7.0,2030s,53.26919996770121,2015,2045,2028,2032,43.48423074329634,53.26919996770121
2030s,90th percentile,SSP2-4.5,2030s,54.586274975732756,2015,2045,2028,2032,43.95858756087519,54.586274975732756
2030s,Median,SSP5-8.5,2030s,49.448687475748464,2015,2045,2028,2032,44.162597217297865,54.40862825202885
2030s,Median,SSP3-7.0,2030s,49.211382776705605,2015,2045,2028,2032,43.48423074329634,53.26919996770121
2050s,Median,SSP2-4.5,2050s,50.03273852795664,2035,2067,2048,2052,43.918839348548175,55.56095980492338
2050s,10th percentile,SSP2-4.5,2050s,43.918839348548175,2035,2067,2048,2052,43.918839348548175,55.56095980492338
2050s,90th percentile,SSP2-4.5,2050s,55.56095980492338,2035,2067,2048,2052,43.918839348548175,55.56095980492338
2050s,Median,SSP3-7.0,2050s,49.66835674718503,2035,2067,2048,2052,43.6207739004892,54.52876180497949
2050s,10th percentile,SSP5-8.5,2050s,44.426430882824654,2035,2067,2048,2052,44.426430882824654,55.93345094107811
2050s,10th percentile,SSP3-7.0,2050s,43.6207739004892,2035,2067,2048,2052,43.6207739004892,54.52876180497949
2050s,90th percentile,SSP5-8.5,2050s,55.93345094107811,2035,2067,2048,2052,44.426430882824654,55.93345094107811
2050s,90th percentile,SSP3-7.0,2050s,54.52876180497949,2035,2067,2048,2052,43.6207739004892,54.52876180497949
2050s,Median,SSP5-8.5,2050s,50.67589983512204,2035,2067,2048,2052,44.426430882824654,55.93345094107811
2070s,90th percentile,SSP2-4.5,2070s,56.018270544973205,2055,2085,2068,2072,44.25311729988522,56.018270544973205
2070s,Median,SSP3-7.0,2070s,50.851362529681644,2055,2085,2068,2072,43.76867840804887,56.37535104207819
2070s,Median,SSP2-4.5,2070s,50.771685243838704,2055,2085,2068,2072,44.25311729988522,56.018270544973205
2070s,10th percentile,SSP3-7.0,2070s,43.76867840804887,2055,2085,2068,2072,43.76867840804887,56.37535104207819
2070s,10th percentile,SSP2-4.5,2070s,44.25311729988522,2055,2085,2068,2072,44.25311729988522,56.018270544973205
2070s,90th percentile,SSP3-7.0,2070s,56.37535104207819,2055,2085,2068,2072,43.76867840804887,56.37535104207819
2070s,Median,SSP5-8.5,2070s,52.409181666684695,2055,2085,2068,2072,45.40878106662248,58.01229446383459
2070s,10th percentile,SSP5-8.5,2070s,45.40878106662248,2055,2085,2068,2072,45.40878106662248,58.01229446383459
2070s,90th percentile,SSP5-8.5,2070s,58.01229446383459,2055,2085,2068,2072,45.40878106662248,58.01229446383459
2090s,90th percentile,SSP3-7.0,2090s,57.875731744747974,2080,2101,2088,2092,43.76812562630519,57.875731744747974
2090s,90th percentile,SSP2-4.5,2090s,57.83133199815745,2080,2101,2088,2092,44.30062828934378,57.83133199815745
2090s,Median,SSP5-8.5,2090s,53.85384394632359,2080,2101,2088,2092,46.221708735091184,60.145431330151325
2090s,Median,SSP3-7.0,2090s,51.79707802540332,2080,2101,2088,2092,43.76812562630519,57.875731744747974
2090s,Median,SSP2-4.5,2090s,52.143539945794366,2080,2101,2088,2092,44.30062828934378,57.83133199815745
2090s,10th percentile,SSP5-8.5,2090s,46.221708735091184,2080,2101,2088,2092,46.221708735091184,60.145431330151325
2090s,10th percentile,SSP3-7.0,2090s,43.76812562630519,2080,2101,2088,2092,43.76812562630519,57.875731744747974
2090s,10th percentile,SSP2-4.5,2090s,44.30062828934378,2080,2101,2088,2092,44.30062828934378,57.83133199815745
2090s,90th percentile,SSP5-8.5,2090s,60.145431330151325,2080,2101,2088,2092,46.221708735091184,60.145431330151325
Baseline,10th percentile,Baseline,Baseline,44.111725748321156,1971,2001,NA,NA,NA,NA
Baseline,90th percentile,Baseline,Baseline,49.63999816517771,1971,2001,NA,NA,NA,NA
Baseline,Median,Baseline,Baseline,46.99868567195939,1971,2001,NA,NA,NA,NA
