cutoffs,geometry
2.51181102362205,"c(-72.228, 41.795)"
2.55826771653544,"c(-75.505, 39.147)"
1.90157480314961,"c(-66.992, 44.907)"
2.18110236220472,"c(-70.162, 44.699)"
2.12992125984252,"c(-69.789, 44.22)"
1.51181102362205,"c(-70.246, 45.626)"
2.09842519685039,"c(-70.217, 44.1)"
2.03149606299213,"c(-69.889, 44.798)"
1.9488188976378,"c(-68.705, 45.65)"
2.03937007874016,"c(-77.698, 39.64)"
2.42125984251969,"c(-76.9, 39.085)"
1.64173228346457,"c(-79.4, 39.413)"
2.5511811023622,"c(-75.682, 38.212)"
2.32917322834647,"c(-75.589, 38.365)"
2.61811023622047,"c(-75.376, 38.232)"
2.1496062992126,"c(-72.537, 42.386)"
2.40157480314961,"c(-71.114, 42.212)"
2.38976377952756,"c(-71.008, 42.048)"
2.38976377952756,"c(-70.67, 41.765)"
2.27165354330709,"c(-71.06, 42.759)"
2.38472440944882,"c(-70.304, 41.665)"
2.27511811023623,"c(-71.166, 42.699)"
2.2992125984252,"c(-71.364, 42.641)"
2.42173228346456,"c(-70.909, 41.882)"
2.51968503937008,"c(-70.696, 41.982)"
2.59842519685039,"c(-71.066, 41.9)"
1.74641732283465,"c(-71.186, 44.453)"
2.24015748031496,"c(-70.95, 43.142)"
1.46062992125984,"c(-71.291, 45.09)"
1.75259842519685,"c(-72.285, 43.705)"
1.8503937007874,"c(-72.325, 42.939)"
2.05905511811024,"c(-71.474, 42.791)"
2.45519685039369,"c(-74.396, 40.892)"
2.16929133858268,"c(-74.425, 41.03)"
2.68897637795276,"c(-74.882, 40.574)"
2.35724409448818,"c(-74.564, 40.266)"
2.38622047244094,"c(-74.78, 39.8)"
2.51740157480314,"c(-74.002, 40.297)"
2.57874015748032,"c(-74.865, 39.968)"
2.42913385826772,"c(-74.403, 40.604)"
2.49456692913385,"c(-74.653, 40.615)"
2.3265748031496,"c(-74.621, 41.219)"
2.20866141732283,"c(-77.234, 42.101)"
1.64173228346457,"c(-77.766, 42.28)"
1.5511811023622,"c(-78.023, 42.311)"
1.59842519685039,"c(-76.545, 42.933)"
1.52287401574804,"c(-77.756, 42.92)"
1.51464566929134,"c(-74.927, 42.717)"
1.70157480314959,"c(-73.721, 44.719)"
1.5623622047244,"c(-77.718, 42.565)"
1.5,"c(-76.836, 42.1)"
1.77952755905512,"c(-74.359, 43.049)"
1.87007874015748,"c(-77.608, 42.775)"
1.5,"c(-75.554, 43.605)"
1.85503937007874,"c(-74.276, 43.755)"
1.763031496063,"c(-76.449, 42.449)"
1.51968503937008,"c(-73.984, 44.304)"
1.48818897637795,"c(-74.869, 43.06)"
1.59842519685039,"c(-78.653, 43.152)"
1.5,"c(-75.483, 43.793)"
1.59842519685039,"c(-74.154, 41.772)"
2.48818897637795,"c(-75.52, 42.512)"
1.67082677165356,"c(-75.444, 44.728)"
1.59842519685039,"c(-78.452, 42.074)"
1.55905511811024,"c(-74.691, 41.389)"
2.23673228346456,"c(-73.105, 40.959)"
2.46062992125984,"c(-75.507, 42.677)"
1.59842519685039,"c(-76.431, 42.946)"
1.5511811023622,"c(-74.289, 42.946)"
1.8759842519685,"c(-74.438, 44.231)"
1.51582677165353,"c(-75.875, 43.976)"
1.59055118110236,"c(-73.961, 41.391)"
2.47259842519683,"c(-79.815, 40.536)"
1.64173228346457,"c(-80.313, 40.763)"
1.60232283464567,"c(-77.637, 39.928)"
1.97665354330709,"c(-79.436, 41.192)"
1.77409448818897,"c(-79.831, 41.4)"
1.64173228346457,"c(-74.717, 41.391)"
2.11712598425198,"c(-75.858, 41.851)"
1.81102362204724,"c(-74.953, 40.148)"
2.50011811023622,"c(-80.362, 41.017)"
1.59842519685039,"c(-76.504, 39.734)"
2.5,"c(-75.488, 40.121)"
2.40157480314961,"c(-77.738, 41.33)"
1.72047244094488,"c(-78.749, 41.42)"
1.7007874015748,"c(-79.668, 40.683)"
1.7007874015748,"c(-76.862, 40.783)"
2,"c(-77.867, 40.793)"
1.77165354330709,"c(-75.207, 41.015)"
2.38188976377953,"c(-76.443, 41.751)"
1.7007874015748,"c(-79.719, 39.915)"
1.68511811023621,"c(-79.149, 41.847)"
